Date,Store_ID_x,SKU,Units Sold,Revenue,Price_x,Promotion,SKU_Name,Category,Subcategory,Price_y,Cost,Brand,Week,Month,Season,Holiday,Promotion_Events,Store_ID_y,Current Stock,Reorder Point,Safety Stock,Last Restock Date,Ordered Stock,Lead Time,Day,Year,DayOfWeek,IsWeekend,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Mean_14,IsHoliday,IsPromotion
2025-01-01,ST01,SKU00001,12,9760.92,813.41,0,NutriPlus Cookware Large,Home & Kitchen,Cookware,813.41,619.77,NutriPlus,1,1,Winter,1,New Year Sale,ST21,215.0,100.0,33.0,2025-12-22,0.0,7.0,1,2025,2,0,0.0,0.0,12.0,12.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST13,0.0,47.0,14.0,2025-08-05,0.0,7.0,1,2025,2,0,0.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST28,0.0,100.0,28.0,2025-09-01,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST22,0.0,80.0,22.0,2025-09-22,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST07,0.0,93.0,27.0,2025-09-27,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST20,0.0,63.0,18.0,2025-09-15,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST10,0.0,61.0,22.0,2025-08-14,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST14,0.0,24.0,9.0,2025-08-08,0.0,7.0,1,2025,2,0,8.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST08,0.0,46.0,21.0,2025-09-14,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST23,0.0,32.0,14.0,2025-08-12,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST06,0.0,60.0,25.0,2025-08-07,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST30,0.0,60.0,28.0,2025-09-18,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST09,0.0,72.0,35.0,2025-10-02,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST03,0.0,44.0,17.0,2025-09-30,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,CrispKing Bread Family Pack,Dairy & Bakery,Bread,70.38,49.57,CrispKing,1,1,Winter,1,New Year Sale,ST25,0.0,100.0,44.0,2025-10-11,0.0,7.0,1,2025,2,0,8.0,8.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,151.28,83.67,SoftTouch,1,1,Winter,1,New Year Sale,ST28,122.0,44.0,14.0,2025-11-22,0.0,7.0,1,2025,2,0,0.0,0.0,5.0,5.0,1,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,151.28,83.67,SoftTouch,1,1,Winter,1,New Year Sale,ST24,174.0,72.0,24.0,2025-11-01,0.0,7.0,1,2025,2,0,5.0,0.0,5.0,5.0,1,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,151.28,83.67,SoftTouch,1,1,Winter,1,New Year Sale,ST05,69.0,62.0,17.0,2025-11-10,0.0,7.0,1,2025,2,0,5.0,0.0,5.0,5.0,1,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0,SoftTouch Notebooks 2L,Stationery & Office,Notebooks,151.28,83.67,SoftTouch,1,1,Winter,1,New Year Sale,ST12,49.0,72.0,30.0,2025-12-13,0.0,7.0,1,2025,2,0,5.0,0.0,5.0,5.0,1,0
2025-01-01,ST02,SKU00004,15,3504.6,233.64,1,SunriseFoods Eggs Large,Dairy & Bakery,Eggs,233.64,156.32,SunriseFoods,1,1,Winter,1,New Year Sale,ST25,148.0,99.0,35.0,2025-12-03,0.0,7.0,1,2025,2,0,0.0,0.0,15.0,15.0,1,1
