SKU,Current_Stock,Forecast,Category
SKU00001,152,12.0,Food
SKU00002,70,7.99,Beauty
SKU00003,180,4.84,Home & Garden
SKU00004,393,15.03,Books
SKU00005,241,10.0,Toys
SKU00006,363,3.62,Toys
SKU00007,108,20.0,Electronics
SKU00008,293,7.99,Automotive
SKU00009,356,15.03,Health
SKU00010,323,5.05,Home & Garden
SKU00011,63,25.0,Automotive
SKU00012,435,10.0,Books
SKU00013,313,18.02,Automotive
SKU00014,99,30.0,Automotive
SKU00015,103,12.0,Food
SKU00016,451,7.99,Home & Garden
SKU00017,319,20.0,Beauty
SKU00018,345,15.03,Toys
SKU00019,329,6.48,Clothing
SKU00020,429,25.0,Sports
SKU00021,393,18.02,Beauty
SKU00022,188,15.0,Beauty
SKU00023,468,5.81,Books
SKU00024,280,10.0,Automotive
SKU00025,467,8.0,Automotive
SKU00026,111,20.0,Beauty
SKU00027,409,12.0,Electronics
SKU00028,498,25.0,Books
SKU00029,180,5.2,Food
SKU00030,408,15.0,Electronics
SKU00031,395,10.0,Beauty
SKU00032,401,30.0,Toys
SKU00033,280,8.0,Books
SKU00034,85,5.86,Books
SKU00035,292,12.0,Food
SKU00036,94,10.0,Health
SKU00037,333,20.0,Food
SKU00038,495,15.0,Sports
SKU00039,274,25.0,Sports
SKU00040,495,17.99,Home & Garden
SKU00041,408,10.0,Automotive
SKU00042,186,8.0,Sports
SKU00043,283,15.0,Health
SKU00044,423,20.0,Electronics
SKU00045,162,12.0,Automotive
SKU00046,101,8.0,Food
SKU00047,436,10.0,Books
SKU00048,162,25.0,Beauty
SKU00049,392,15.0,Beauty
SKU00050,452,30.0,Electronics
SKU00051,267,17.99,Food
SKU00052,296,10.0,Electronics
SKU00053,172,20.0,Clothing
SKU00054,374,8.0,Books
SKU00055,289,12.0,Clothing
SKU00056,375,15.0,Toys
SKU00057,301,10.0,Beauty
SKU00058,395,25.0,Beauty
SKU00059,401,20.0,Toys
SKU00060,473,15.0,Electronics
SKU00061,316,8.0,Home & Garden
SKU00062,200,12.0,Home & Garden
SKU00063,301,10.0,Sports
SKU00064,418,20.0,Electronics
SKU00065,303,15.0,Beauty
SKU00066,209,25.0,Automotive
SKU00067,353,10.0,Health
SKU00068,201,8.0,Health
SKU00069,457,30.0,Electronics
SKU00070,471,12.0,Books
SKU00071,398,15.0,Automotive
SKU00072,359,20.0,Home & Garden
SKU00073,117,8.0,Electronics
SKU00074,453,25.0,Beauty
SKU00075,450,10.0,Home & Garden
SKU00076,287,15.0,Automotive
SKU00077,487,12.0,Clothing
SKU00078,275,20.0,Automotive
SKU00079,416,10.0,Books
SKU00080,366,25.0,Beauty
SKU00081,84,15.0,Electronics
SKU00082,221,20.0,Toys
SKU00083,148,12.0,Toys
SKU00084,230,8.0,Beauty
SKU00085,165,25.0,Electronics
SKU00086,210,10.0,Books
SKU00087,272,15.0,Sports
SKU00088,409,30.0,Electronics
SKU00089,480,20.0,Books
SKU00090,176,12.0,Books
SKU00091,322,25.0,Books
SKU00092,295,10.0,Sports
SKU00093,296,15.0,Food
SKU00094,458,8.0,Clothing
SKU00095,362,20.0,Health
SKU00096,313,12.0,Clothing
SKU00097,141,25.0,Clothing
SKU00098,264,15.0,Health
SKU00099,202,10.0,Toys
SKU00100,107,20.0,Food
SKU00101,219,12.0,Beauty
SKU00102,150,25.0,Automotive
SKU00103,109,15.0,Beauty
SKU00104,311,8.0,Home & Garden
SKU00105,404,20.0,Clothing
SKU00106,193,30.0,Home & Garden
SKU00107,196,12.0,Toys
SKU00108,324,25.0,Sports
SKU00109,395,10.0,Books
SKU00110,328,15.0,Books
SKU00111,107,8.0,Sports
SKU00112,138,20.0,Beauty
SKU00113,496,12.0,Health
