date_x,Store_ID,SKU,units_sold,revenue,unit_price,promotion,Date,Units Sold,Revenue,Price_x,Promotion,Category,Cost,Price_y,date_y,week,month,season,holiday_flag,promotion_events,Holiday,Season,Current Stock,Ordered Stock,Lead Time,Reorder Point,Day,Week,Month,Year,DayOfWeek,IsWeekend,Lag_1,Lag_7,Rolling_Mean_7,Rolling_Mean_14,IsHoliday,IsPromotion
2025-01-01,ST01,SKU00001,12,9760.92,813.41,0,2025-01-01,12,9760.92,813.41,0,Food,40.84,55.01,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,152,51,13,90,1,1,1,2025,2,0,0.0,0.0,12.0,12.0,1,0
2025-01-01,ST01,SKU00002,8,563.04,70.38,0,2025-01-01,8,563.04,70.38,0,Beauty,31.94,42.31,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,70,82,9,53,1,1,1,2025,2,0,0.0,0.0,8.0,8.0,1,0
2025-01-01,ST01,SKU00003,5,756.4,151.28,0,2025-01-01,5,756.4,151.28,0,Home & Garden,9.5,14.89,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,180,21,7,31,1,1,1,2025,2,0,0.0,0.0,5.0,5.0,1,0
2025-01-01,ST02,SKU00004,15,3504.6,233.64,1,2025-01-01,15,3504.6,233.64,1,Books,32.05,56.62,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,393,29,8,31,1,1,1,2025,2,0,0.0,0.0,15.0,15.0,1,1
2025-01-01,ST02,SKU00005,10,1385.0,138.5,0,2025-01-01,10,1385.0,138.5,0,Toys,7.54,13.4,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,241,59,7,62,1,1,1,2025,2,0,0.0,0.0,10.0,10.0,1,0
2025-01-01,ST03,SKU00006,3,4241.76,1413.92,0,2025-01-01,3,4241.76,1413.92,0,Toys,5.04,10.04,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,363,21,11,78,1,1,1,2025,2,0,0.0,0.0,3.0,3.0,1,0
2025-01-01,ST03,SKU00007,20,2595.0,129.75,1,2025-01-01,20,2595.0,129.75,1,Electronics,18.69,30.28,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,108,41,5,84,1,1,1,2025,2,0,0.0,0.0,20.0,20.0,1,1
2025-01-01,ST04,SKU00008,8,3936.88,492.11,0,2025-01-01,8,3936.88,492.11,0,Automotive,18.11,30.59,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,293,63,11,32,1,1,1,2025,2,0,0.0,0.0,8.0,8.0,1,0
2025-01-01,ST04,SKU00009,15,3777.9,251.86,0,2025-01-01,15,3777.9,251.86,0,Health,7.1,14.05,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,356,6,7,68,1,1,1,2025,2,0,0.0,0.0,15.0,15.0,1,0
2025-01-01,ST05,SKU00010,5,8013.95,1602.79,0,2025-01-01,5,8013.95,1602.79,0,Home & Garden,22.21,44.12,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,323,3,11,89,1,1,1,2025,2,0,0.0,0.0,5.0,5.0,1,0
2025-01-01,ST05,SKU00011,25,3084.0,123.36,0,2025-01-01,25,3084.0,123.36,0,Automotive,7.09,11.95,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,63,8,12,82,1,1,1,2025,2,0,0.0,0.0,25.0,25.0,1,0
2025-01-01,ST06,SKU00012,10,8135.2,813.52,1,2025-01-01,10,8135.2,813.52,1,Books,25.27,30.6,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,435,83,9,73,1,1,1,2025,2,0,0.0,0.0,10.0,10.0,1,1
2025-01-01,ST06,SKU00013,18,9395.1,521.95,0,2025-01-01,18,9395.1,521.95,0,Automotive,48.45,89.48,2025-01-01,1,1,Winter,1,New Year Sale,1,Winter,313,46,5,65,1,1,1,2025,2,0,0.0,0.0,18.0,18.0,1,0
