SKU,Current_Stock,Forecast,Stockout_Risk,Overstock_Risk,Risk_Score,Recommendation,Category
SKU00001,152,12.0,None,High,75,Markdown/Clear,Food
SKU00002,70,7.99,None,High,75,Markdown/Clear,Beauty
SKU00003,180,4.84,None,High,75,Markdown/Clear,Home & Garden
SKU00004,393,15.03,None,High,75,Markdown/Clear,Books
SKU00005,241,10.0,None,High,75,Markdown/Clear,Toys
SKU00006,363,3.62,None,High,75,Markdown/Clear,Toys
SKU00007,108,20.0,None,High,75,Markdown/Clear,Electronics
SKU00008,293,7.99,None,High,75,Markdown/Clear,Automotive
SKU00009,356,15.03,None,High,75,Markdown/Clear,Health
SKU00010,323,5.05,None,High,75,Markdown/Clear,Home & Garden
SKU00011,63,25.0,None,High,75,Markdown/Clear,Automotive
SKU00012,435,10.0,None,High,75,Markdown/Clear,Books
SKU00013,313,18.02,None,High,75,Markdown/Clear,Automotive
SKU00014,99,30.0,None,High,75,Markdown/Clear,Automotive
SKU00015,103,12.0,None,High,75,Markdown/Clear,Food
SKU00016,451,7.99,None,High,75,Markdown/Clear,Home & Garden
SKU00017,319,20.0,None,High,75,Markdown/Clear,Beauty
SKU00018,345,15.03,None,High,75,Markdown/Clear,Toys
SKU00019,329,6.48,None,High,75,Markdown/Clear,Clothing
SKU00020,429,25.0,None,High,75,Markdown/Clear,Sports
SKU00021,393,18.02,None,High,75,Markdown/Clear,Beauty
SKU00022,188,15.0,None,High,75,Markdown/Clear,Beauty
SKU00023,468,5.81,None,High,75,Markdown/Clear,Books
SKU00024,280,10.0,None,High,75,Markdown/Clear,Automotive
SKU00025,467,8.0,None,High,75,Markdown/Clear,Automotive
SKU00026,111,20.0,None,High,75,Markdown/Clear,Beauty
SKU00027,409,12.0,None,High,75,Markdown/Clear,Electronics
SKU00028,498,25.0,None,High,75,Markdown/Clear,Books
SKU00029,180,5.2,None,High,75,Markdown/Clear,Food
SKU00030,408,15.0,None,High,75,Markdown/Clear,Electronics
SKU00031,395,10.0,None,High,75,Markdown/Clear,Beauty
SKU00032,401,30.0,None,High,75,Markdown/Clear,Toys
SKU00033,280,8.0,None,High,75,Markdown/Clear,Books
SKU00034,85,5.86,None,High,75,Markdown/Clear,Books
SKU00035,292,12.0,None,High,75,Markdown/Clear,Food
SKU00036,94,10.0,None,High,75,Markdown/Clear,Health
SKU00037,333,20.0,None,High,75,Markdown/Clear,Food
SKU00038,495,15.0,None,High,75,Markdown/Clear,Sports
SKU00039,274,25.0,None,High,75,Markdown/Clear,Sports
SKU00040,495,17.99,None,High,75,Markdown/Clear,Home & Garden
SKU00041,408,10.0,None,High,75,Markdown/Clear,Automotive
SKU00042,186,8.0,None,High,75,Markdown/Clear,Sports
SKU00043,283,15.0,None,High,75,Markdown/Clear,Health
SKU00044,423,20.0,None,High,75,Markdown/Clear,Electronics
SKU00045,162,12.0,None,High,75,Markdown/Clear,Automotive
SKU00046,101,8.0,None,High,75,Markdown/Clear,Food
SKU00047,436,10.0,None,High,75,Markdown/Clear,Books
SKU00048,162,25.0,None,High,75,Markdown/Clear,Beauty
SKU00049,392,15.0,None,High,75,Markdown/Clear,Beauty
SKU00050,452,30.0,None,High,75,Markdown/Clear,Electronics
SKU00051,267,17.99,None,High,75,Markdown/Clear,Food
SKU00052,296,10.0,None,High,75,Markdown/Clear,Electronics
SKU00053,172,20.0,None,High,75,Markdown/Clear,Clothing
SKU00054,374,8.0,None,High,75,Markdown/Clear,Books
SKU00055,289,12.0,None,High,75,Markdown/Clear,Clothing
SKU00056,375,15.0,None,High,75,Markdown/Clear,Toys
SKU00057,301,10.0,None,High,75,Markdown/Clear,Beauty
SKU00058,395,25.0,None,High,75,Markdown/Clear,Beauty
SKU00059,401,20.0,None,High,75,Markdown/Clear,Toys
SKU00060,473,15.0,None,High,75,Markdown/Clear,Electronics
SKU00061,316,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00062,200,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00063,301,10.0,None,High,75,Markdown/Clear,Sports
SKU00064,418,20.0,None,High,75,Markdown/Clear,Electronics
SKU00065,303,15.0,None,High,75,Markdown/Clear,Beauty
SKU00066,209,25.0,None,High,75,Markdown/Clear,Automotive
SKU00067,353,10.0,None,High,75,Markdown/Clear,Health
SKU00068,201,8.0,None,High,75,Markdown/Clear,Health
SKU00069,457,30.0,None,High,75,Markdown/Clear,Electronics
SKU00070,471,12.0,None,High,75,Markdown/Clear,Books
SKU00071,398,15.0,None,High,75,Markdown/Clear,Automotive
SKU00072,359,20.0,None,High,75,Markdown/Clear,Home & Garden
SKU00073,117,8.0,None,High,75,Markdown/Clear,Electronics
SKU00074,453,25.0,None,High,75,Markdown/Clear,Beauty
SKU00075,450,10.0,None,High,75,Markdown/Clear,Home & Garden
SKU00076,287,15.0,None,High,75,Markdown/Clear,Automotive
SKU00077,487,12.0,None,High,75,Markdown/Clear,Clothing
SKU00078,275,20.0,None,High,75,Markdown/Clear,Automotive
SKU00079,416,10.0,None,High,75,Markdown/Clear,Books
SKU00080,366,25.0,None,High,75,Markdown/Clear,Beauty
SKU00081,84,15.0,None,High,75,Markdown/Clear,Electronics
SKU00082,221,20.0,None,High,75,Markdown/Clear,Toys
SKU00083,148,12.0,None,High,75,Markdown/Clear,Toys
SKU00084,230,8.0,None,High,75,Markdown/Clear,Beauty
SKU00085,165,25.0,None,High,75,Markdown/Clear,Electronics
SKU00086,210,10.0,None,High,75,Markdown/Clear,Books
SKU00087,272,15.0,None,High,75,Markdown/Clear,Sports
SKU00088,409,30.0,None,High,75,Markdown/Clear,Electronics
SKU00089,480,20.0,None,High,75,Markdown/Clear,Books
SKU00090,176,12.0,None,High,75,Markdown/Clear,Books
SKU00091,322,25.0,None,High,75,Markdown/Clear,Books
SKU00092,295,10.0,None,High,75,Markdown/Clear,Sports
SKU00093,296,15.0,None,High,75,Markdown/Clear,Food
SKU00094,458,8.0,None,High,75,Markdown/Clear,Clothing
SKU00095,362,20.0,None,High,75,Markdown/Clear,Health
SKU00096,313,12.0,None,High,75,Markdown/Clear,Clothing
SKU00097,141,25.0,None,High,75,Markdown/Clear,Clothing
SKU00098,264,15.0,None,High,75,Markdown/Clear,Health
SKU00099,202,10.0,None,High,75,Markdown/Clear,Toys
SKU00100,107,20.0,None,High,75,Markdown/Clear,Food
SKU00101,219,12.0,None,High,75,Markdown/Clear,Beauty
SKU00102,150,25.0,None,High,75,Markdown/Clear,Automotive
SKU00103,109,15.0,None,High,75,Markdown/Clear,Beauty
SKU00104,311,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00105,404,20.0,None,High,75,Markdown/Clear,Clothing
SKU00106,193,30.0,None,High,75,Markdown/Clear,Home & Garden
SKU00107,196,12.0,None,High,75,Markdown/Clear,Toys
SKU00108,324,25.0,None,High,75,Markdown/Clear,Sports
SKU00109,395,10.0,None,High,75,Markdown/Clear,Books
SKU00110,328,15.0,None,High,75,Markdown/Clear,Books
SKU00111,107,8.0,None,High,75,Markdown/Clear,Sports
SKU00112,138,20.0,None,High,75,Markdown/Clear,Beauty
SKU00113,496,12.0,None,High,75,Markdown/Clear,Health
SKU00114,125,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00115,334,10.0,None,High,75,Markdown/Clear,Books
SKU00116,143,15.0,None,High,75,Markdown/Clear,Automotive
SKU00117,253,20.0,None,High,75,Markdown/Clear,Health
SKU00118,390,25.0,None,High,75,Markdown/Clear,Toys
SKU00119,303,12.0,None,High,75,Markdown/Clear,Books
SKU00120,299,30.0,None,High,75,Markdown/Clear,Books
SKU00121,149,8.0,None,High,75,Markdown/Clear,Health
SKU00122,299,15.0,None,High,75,Markdown/Clear,Automotive
SKU00123,374,20.0,None,High,75,Markdown/Clear,Electronics
SKU00124,433,25.0,None,High,75,Markdown/Clear,Books
SKU00125,445,12.0,None,High,75,Markdown/Clear,Books
SKU00126,466,10.0,None,High,75,Markdown/Clear,Books
SKU00127,150,15.0,None,High,75,Markdown/Clear,Books
SKU00128,466,20.0,None,High,75,Markdown/Clear,Health
SKU00129,93,25.0,None,High,75,Markdown/Clear,Electronics
SKU00130,264,8.0,None,High,75,Markdown/Clear,Beauty
SKU00131,142,30.0,None,High,75,Markdown/Clear,Sports
SKU00132,164,12.0,None,High,75,Markdown/Clear,Electronics
SKU00133,163,10.0,None,High,75,Markdown/Clear,Books
SKU00134,266,25.0,None,High,75,Markdown/Clear,Beauty
SKU00135,443,15.0,None,High,75,Markdown/Clear,Clothing
SKU00136,276,20.0,None,High,75,Markdown/Clear,Food
SKU00137,145,12.0,None,High,75,Markdown/Clear,Health
SKU00138,273,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00139,62,8.0,None,High,75,Markdown/Clear,Books
SKU00140,322,30.0,None,High,75,Markdown/Clear,Beauty
SKU00141,236,15.0,None,High,75,Markdown/Clear,Automotive
SKU00142,494,20.0,None,High,75,Markdown/Clear,Beauty
SKU00143,255,25.0,None,High,75,Markdown/Clear,Sports
SKU00144,422,12.0,None,High,75,Markdown/Clear,Beauty
SKU00145,74,10.0,None,High,75,Markdown/Clear,Electronics
SKU00146,200,15.0,None,High,75,Markdown/Clear,Home & Garden
SKU00147,158,20.0,None,High,75,Markdown/Clear,Sports
SKU00148,472,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00149,212,30.0,None,High,75,Markdown/Clear,Automotive
SKU00150,288,8.0,None,High,75,Markdown/Clear,Sports
SKU00151,450,12.0,None,High,75,Markdown/Clear,Books
SKU00152,442,20.0,None,High,75,Markdown/Clear,Sports
SKU00153,54,25.0,None,High,75,Markdown/Clear,Food
SKU00154,388,10.0,None,High,75,Markdown/Clear,Books
SKU00155,376,15.0,None,High,75,Markdown/Clear,Health
SKU00156,119,20.0,None,High,75,Markdown/Clear,Clothing
SKU00157,413,25.0,None,High,75,Markdown/Clear,Health
SKU00158,88,8.0,None,High,75,Markdown/Clear,Food
SKU00159,197,30.0,None,High,75,Markdown/Clear,Automotive
SKU00160,432,12.0,None,High,75,Markdown/Clear,Books
SKU00161,397,15.0,None,High,75,Markdown/Clear,Beauty
SKU00162,418,20.0,None,High,75,Markdown/Clear,Sports
SKU00163,471,25.0,None,High,75,Markdown/Clear,Sports
SKU00164,222,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00165,276,30.0,None,High,75,Markdown/Clear,Health
SKU00166,451,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00167,63,20.0,None,High,75,Markdown/Clear,Health
SKU00168,423,15.0,None,High,75,Markdown/Clear,Automotive
SKU00169,61,25.0,None,High,75,Markdown/Clear,Automotive
SKU00170,205,8.0,None,High,75,Markdown/Clear,Beauty
SKU00171,139,12.0,None,High,75,Markdown/Clear,Health
SKU00172,227,30.0,None,High,75,Markdown/Clear,Books
SKU00173,277,15.0,None,High,75,Markdown/Clear,Books
SKU00174,194,20.0,None,High,75,Markdown/Clear,Automotive
SKU00175,446,25.0,None,High,75,Markdown/Clear,Electronics
SKU00176,131,8.0,None,High,75,Markdown/Clear,Food
SKU00177,59,30.0,Low,High,75,Watch,Beauty
SKU00178,168,12.0,None,High,75,Markdown/Clear,Books
SKU00179,195,20.0,None,High,75,Markdown/Clear,Health
SKU00180,390,25.0,None,High,75,Markdown/Clear,Books
SKU00181,332,8.0,None,High,75,Markdown/Clear,Toys
SKU00182,454,15.0,None,High,75,Markdown/Clear,Books
SKU00183,400,10.0,None,High,75,Markdown/Clear,Home & Garden
SKU00184,486,30.0,None,High,75,Markdown/Clear,Books
SKU00185,214,12.0,None,High,75,Markdown/Clear,Beauty
SKU00186,134,25.0,None,High,75,Markdown/Clear,Books
SKU00187,100,20.0,None,High,75,Markdown/Clear,Electronics
SKU00188,498,8.0,None,High,75,Markdown/Clear,Books
SKU00189,203,30.0,None,High,75,Markdown/Clear,Electronics
SKU00190,428,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00191,285,15.0,None,High,75,Markdown/Clear,Food
SKU00192,450,20.0,None,High,75,Markdown/Clear,Books
SKU00193,115,25.0,None,High,75,Markdown/Clear,Books
SKU00194,241,8.0,None,High,75,Markdown/Clear,Home & Garden
SKU00195,147,30.0,None,High,75,Markdown/Clear,Electronics
SKU00196,496,12.0,None,High,75,Markdown/Clear,Electronics
SKU00197,384,20.0,None,High,75,Markdown/Clear,Beauty
SKU00198,130,25.0,None,High,75,Markdown/Clear,Toys
SKU00199,233,8.0,None,High,75,Markdown/Clear,Electronics
SKU00200,389,30.0,None,High,75,Markdown/Clear,Automotive
SKU00201,311,12.0,None,High,75,Markdown/Clear,Food
SKU00202,289,15.0,None,High,75,Markdown/Clear,Clothing
SKU00203,232,20.0,None,High,75,Markdown/Clear,Clothing
SKU00204,57,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00205,233,8.0,None,High,75,Markdown/Clear,Toys
SKU00206,204,30.0,None,High,75,Markdown/Clear,Food
SKU00207,171,12.0,None,High,75,Markdown/Clear,Sports
SKU00208,54,15.0,None,High,75,Markdown/Clear,Electronics
SKU00209,71,20.0,None,High,75,Markdown/Clear,Clothing
SKU00210,182,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00211,83,8.0,None,High,75,Markdown/Clear,Toys
SKU00212,460,30.0,None,High,75,Markdown/Clear,Sports
SKU00213,170,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00214,97,25.0,None,High,75,Markdown/Clear,Health
SKU00215,341,20.0,None,High,75,Markdown/Clear,Clothing
SKU00216,256,15.0,None,High,75,Markdown/Clear,Books
SKU00217,77,25.0,None,High,75,Markdown/Clear,Health
SKU00218,414,8.0,None,High,75,Markdown/Clear,Health
SKU00219,420,30.0,None,High,75,Markdown/Clear,Automotive
SKU00220,287,12.0,None,High,75,Markdown/Clear,Beauty
SKU00221,276,15.0,None,High,75,Markdown/Clear,Electronics
SKU00222,251,20.0,None,High,75,Markdown/Clear,Electronics
SKU00223,280,25.0,None,High,75,Markdown/Clear,Beauty
SKU00224,74,8.0,None,High,75,Markdown/Clear,Food
SKU00225,117,30.0,None,High,75,Markdown/Clear,Health
SKU00226,160,12.0,None,High,75,Markdown/Clear,Food
SKU00227,160,20.0,None,High,75,Markdown/Clear,Clothing
SKU00228,474,15.0,None,High,75,Markdown/Clear,Automotive
SKU00229,369,25.0,None,High,75,Markdown/Clear,Food
SKU00230,364,8.0,None,High,75,Markdown/Clear,Health
SKU00231,486,30.0,None,High,75,Markdown/Clear,Sports
SKU00232,119,12.0,None,High,75,Markdown/Clear,Automotive
SKU00233,367,15.0,None,High,75,Markdown/Clear,Toys
SKU00234,186,20.0,None,High,75,Markdown/Clear,Electronics
SKU00235,89,25.0,None,High,75,Markdown/Clear,Books
SKU00236,371,8.0,None,High,75,Markdown/Clear,Clothing
SKU00237,384,30.0,None,High,75,Markdown/Clear,Toys
SKU00238,111,12.0,None,High,75,Markdown/Clear,Toys
SKU00239,75,25.0,None,High,75,Markdown/Clear,Sports
SKU00240,459,20.0,None,High,75,Markdown/Clear,Beauty
SKU00241,162,15.0,None,High,75,Markdown/Clear,Home & Garden
SKU00242,369,8.0,None,High,75,Markdown/Clear,Beauty
SKU00243,405,30.0,None,High,75,Markdown/Clear,Sports
SKU00244,210,12.0,None,High,75,Markdown/Clear,Beauty
SKU00245,310,25.0,None,High,75,Markdown/Clear,Clothing
SKU00246,435,20.0,None,High,75,Markdown/Clear,Home & Garden
SKU00247,133,15.0,None,High,75,Markdown/Clear,Health
SKU00248,314,8.0,None,High,75,Markdown/Clear,Electronics
SKU00249,468,30.0,None,High,75,Markdown/Clear,Electronics
SKU00250,367,12.0,None,High,75,Markdown/Clear,Books
SKU00251,467,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00252,50,20.0,None,High,75,Markdown/Clear,Health
SKU00253,369,15.0,None,High,75,Markdown/Clear,Clothing
SKU00254,410,8.0,None,High,75,Markdown/Clear,Electronics
SKU00255,54,30.0,Low,High,75,Watch,Automotive
SKU00256,111,12.0,None,High,75,Markdown/Clear,Food
SKU00257,138,15.0,None,High,75,Markdown/Clear,Books
SKU00258,153,20.0,None,High,75,Markdown/Clear,Books
SKU00259,402,25.0,None,High,75,Markdown/Clear,Home & Garden
SKU00260,194,8.0,None,High,75,Markdown/Clear,Toys
SKU00261,358,30.0,None,High,75,Markdown/Clear,Automotive
SKU00262,247,12.0,None,High,75,Markdown/Clear,Home & Garden
SKU00263,228,15.0,None,High,75,Markdown/Clear,Health
SKU00264,64,20.0,None,High,75,Markdown/Clear,Health
SKU00265,469,25.0,None,High,75,Markdown/Clear,Food
SKU00266,146,8.0,None,High,75,Markdown/Clear,Toys
SKU00267,303,30.0,None,High,75,Markdown/Clear,Electronics
SKU00268,59,12.0,None,High,75,Markdown/Clear,Food
SKU00269,446,15.0,None,High,75,Markdown/Clear,Beauty
SKU00270,233,20.0,None,High,75,Markdown/Clear,Toys
SKU00271,206,25.0,None,High,75,Markdown/Clear,Health
SKU00272,179,8.0,None,High,75,Markdown/Clear,Electronics
