SKU,Current Stock,Ordered Stock,Lead Time,Reorder Point
SKU00001,152,51,13,90
SKU00002,70,82,9,53
SKU00003,180,21,7,31
SKU00004,393,29,8,31
SKU00005,241,59,7,62
SKU00006,363,21,11,78
SKU00007,108,41,5,84
SKU00008,293,63,11,32
SKU00009,356,6,7,68
SKU00010,323,3,11,89
SKU00011,63,8,12,82
SKU00012,435,83,9,73
SKU00013,313,46,5,65
SKU00014,99,3,4,35
SKU00015,103,3,8,92
SKU00016,451,89,4,91
SKU00017,319,94,10,91
SKU00018,345,84,4,82
SKU00019,329,25,11,89
SKU00020,429,40,3,38
SKU00021,393,0,10,92
SKU00022,188,80,10,64
SKU00023,468,32,13,34
SKU00024,280,40,9,41
SKU00025,467,32,9,52
SKU00026,111,87,7,73
SKU00027,409,85,13,64
SKU00028,498,98,7,76
SKU00029,180,0,7,43
SKU00030,408,26,11,44
SKU00031,395,41,5,92
SKU00032,401,51,6,52
SKU00033,280,14,13,58
SKU00034,85,12,9,88
SKU00035,292,85,4,71
SKU00036,94,61,11,35
SKU00037,333,27,6,59
SKU00038,495,74,12,91
SKU00039,274,0,11,56
SKU00040,495,76,11,32
SKU00041,408,69,10,56
SKU00042,186,61,7,80
SKU00043,283,43,10,88
SKU00044,423,31,10,81
SKU00045,162,61,3,87
SKU00046,101,11,9,31
SKU00047,436,55,3,88
SKU00048,162,1,4,83
SKU00049,392,95,3,30
SKU00050,452,1,7,73
SKU00051,267,31,8,61
SKU00052,296,67,9,85
SKU00053,172,16,8,53
SKU00054,374,97,8,40
SKU00055,289,15,3,88
SKU00056,375,79,5,49
SKU00057,301,58,6,48
SKU00058,395,66,5,49
SKU00059,401,70,6,62
SKU00060,473,38,4,30
SKU00061,316,91,11,79
SKU00062,200,30,12,36
SKU00063,301,15,12,89
SKU00064,418,1,3,77
SKU00065,303,11,7,66
SKU00066,209,8,11,48
SKU00067,353,79,5,49
SKU00068,201,53,10,62
SKU00069,457,74,3,65
SKU00070,471,83,5,54
SKU00071,398,17,4,95
SKU00072,359,34,11,62
SKU00073,117,32,7,77
SKU00074,453,7,9,96
SKU00075,450,32,13,51
SKU00076,287,29,8,80
SKU00077,487,7,13,56
SKU00078,275,20,3,57
SKU00079,416,63,3,98
SKU00080,366,47,5,33
SKU00081,84,63,3,46
SKU00082,221,91,7,35
SKU00083,148,36,10,75
SKU00084,230,94,5,89
SKU00085,165,62,7,61
SKU00086,210,66,4,54
SKU00087,272,53,12,96
SKU00088,409,45,10,61
SKU00089,480,85,9,95
SKU00090,176,26,12,31
SKU00091,322,32,11,72
SKU00092,295,47,9,71
SKU00093,296,25,5,79
SKU00094,458,23,12,36
SKU00095,362,35,6,94
SKU00096,313,15,5,44
SKU00097,141,97,4,61
SKU00098,264,62,8,80
SKU00099,202,57,8,87
SKU00100,107,85,3,81
SKU00101,219,69,8,89
SKU00102,150,96,10,82
SKU00103,109,4,9,97
SKU00104,311,95,6,76
SKU00105,404,54,10,81
SKU00106,193,12,4,59
SKU00107,196,16,10,92
SKU00108,324,91,12,84
SKU00109,395,89,7,91
SKU00110,328,8,7,30
SKU00111,107,0,4,77
SKU00112,138,0,9,93
SKU00113,496,68,8,96
SKU00114,125,25,5,86
SKU00115,334,77,7,76
SKU00116,143,61,6,98
SKU00117,253,15,12,77
SKU00118,390,38,6,62
SKU00119,303,93,7,52
SKU00120,299,9,8,98
SKU00121,149,33,6,39
SKU00122,299,18,12,30
SKU00123,374,3,10,31
SKU00124,433,31,13,53
SKU00125,445,49,5,62
SKU00126,466,60,5,72
SKU00127,150,11,5,94
SKU00128,466,39,12,72
SKU00129,93,28,4,64
SKU00130,264,80,12,37
SKU00131,142,25,12,63
SKU00132,164,6,6,87
SKU00133,163,74,10,65
SKU00134,266,20,11,65
SKU00135,443,72,10,93
SKU00136,276,48,5,65
SKU00137,145,23,9,91
SKU00138,273,36,3,84
SKU00139,62,22,11,59
SKU00140,322,61,6,42
SKU00141,236,18,3,41
SKU00142,494,18,11,57
SKU00143,255,94,6,45
SKU00144,422,68,5,41
SKU00145,74,51,13,82
SKU00146,200,15,11,68
SKU00147,158,52,12,87
SKU00148,472,13,12,34
SKU00149,212,86,13,47
SKU00150,288,75,11,87
SKU00151,450,6,10,71
SKU00152,442,49,13,95
SKU00153,54,28,7,67
SKU00154,388,7,3,46
SKU00155,376,88,6,65
SKU00156,119,30,5,90
SKU00157,413,53,9,48
SKU00158,88,66,4,87
SKU00159,197,91,10,90
SKU00160,432,38,3,32
SKU00161,397,61,11,92
SKU00162,418,24,10,62
SKU00163,471,5,12,73
SKU00164,222,31,7,65
SKU00165,276,18,6,86
SKU00166,451,46,11,78
SKU00167,63,14,3,83
SKU00168,423,2,9,86
SKU00169,61,73,10,53
SKU00170,205,7,12,65
SKU00171,139,7,12,89
SKU00172,227,27,7,70
SKU00173,277,63,13,92
SKU00174,194,72,3,58
SKU00175,446,45,5,35
SKU00176,131,68,11,95
SKU00177,59,55,4,34
SKU00178,168,32,8,94
SKU00179,195,95,3,40
SKU00180,390,25,11,88
SKU00181,332,48,3,30
SKU00182,454,54,8,98
SKU00183,400,4,8,32
SKU00184,486,22,7,82
SKU00185,214,73,12,46
SKU00186,134,77,11,30
SKU00187,100,44,6,91
SKU00188,498,31,4,68
SKU00189,203,33,8,32
SKU00190,428,49,3,83
SKU00191,285,4,13,86
SKU00192,450,46,9,43
SKU00193,115,74,5,67
SKU00194,241,97,8,79
SKU00195,147,81,13,80
SKU00196,496,97,6,67
SKU00197,384,29,9,80
SKU00198,130,4,6,39
SKU00199,233,16,12,46
SKU00200,389,87,7,63
SKU00201,311,52,4,72
SKU00202,289,74,5,52
SKU00203,232,79,13,45
SKU00204,57,3,10,33
SKU00205,233,24,5,96
SKU00206,204,92,4,90
SKU00207,171,50,5,50
SKU00208,54,81,12,90
SKU00209,71,20,8,30
SKU00210,182,11,12,75
SKU00211,83,48,12,74
SKU00212,460,72,12,76
SKU00213,170,85,10,92
SKU00214,97,60,3,55
SKU00215,341,0,10,81
SKU00216,256,46,10,43
SKU00217,77,86,10,31
SKU00218,414,25,13,85
SKU00219,420,6,5,52
SKU00220,287,17,12,67
SKU00221,276,14,11,57
SKU00222,251,38,11,46
SKU00223,280,85,12,73
SKU00224,74,16,6,54
SKU00225,117,9,5,47
SKU00226,160,99,8,63
SKU00227,160,7,10,71
SKU00228,474,5,6,55
SKU00229,369,97,13,85
SKU00230,364,69,7,62
SKU00231,486,21,7,99
SKU00232,119,3,13,91
SKU00233,367,93,10,84
SKU00234,186,2,5,60
SKU00235,89,35,10,35
SKU00236,371,83,13,33
SKU00237,384,5,8,80
SKU00238,111,56,4,37
SKU00239,75,50,7,99
SKU00240,459,67,5,49
SKU00241,162,11,3,43
SKU00242,369,37,7,40
SKU00243,405,76,13,32
SKU00244,210,5,4,39
SKU00245,310,22,12,73
SKU00246,435,12,10,31
SKU00247,133,64,7,46
SKU00248,314,74,10,67
SKU00249,468,93,3,98
SKU00250,367,59,4,38
SKU00251,467,75,5,64
SKU00252,50,39,8,89
SKU00253,369,92,10,40
SKU00254,410,13,5,66
SKU00255,54,82,13,55
SKU00256,111,3,11,71
SKU00257,138,17,10,68
SKU00258,153,13,5,67
SKU00259,402,22,3,54
SKU00260,194,96,9,95
SKU00261,358,50,9,80
SKU00262,247,5,5,36
SKU00263,228,71,12,93
SKU00264,64,28,3,56
SKU00265,469,28,8,86
SKU00266,146,26,9,62
SKU00267,303,67,8,95
SKU00268,59,4,13,67
SKU00269,446,30,6,81
SKU00270,233,14,10,34
SKU00271,206,46,6,74
SKU00272,179,26,5,65
SKU00273,341,25,13,56
SKU00274,118,19,13,67
SKU00275,183,71,9,76
SKU00276,395,45,13,41
SKU00277,267,12,10,91
SKU00278,259,88,3,89
SKU00279,220,75,6,97
SKU00280,182,36,10,60
SKU00281,427,8,8,80
SKU00282,78,77,10,70
SKU00283,263,10,9,30
SKU00284,351,20,12,65
SKU00285,231,86,11,30
SKU00286,368,53,9,69
SKU00287,448,20,11,82
SKU00288,186,73,6,86
SKU00289,166,25,11,64
SKU00290,112,24,12,67
SKU00291,435,6,4,63
SKU00292,396,16,13,88
SKU00293,413,50,8,53
SKU00294,74,70,6,99
SKU00295,393,32,3,58
SKU00296,112,21,12,57
SKU00297,419,84,3,78
SKU00298,197,85,10,78
SKU00299,376,0,9,80
SKU00300,428,55,5,91
SKU00301,81,29,3,74
SKU00302,335,15,10,48
SKU00303,67,0,5,76
SKU00304,243,91,3,67
SKU00305,484,62,6,30
SKU00306,313,28,9,32
SKU00307,337,9,12,63
SKU00308,429,96,9,84
SKU00309,337,49,9,37
SKU00310,370,56,9,96
SKU00311,492,71,8,96
SKU00312,100,96,10,63
SKU00313,340,95,10,61
SKU00314,169,45,13,45
SKU00315,214,53,7,43
SKU00316,272,54,4,36
SKU00317,379,6,3,52
SKU00318,134,18,5,65
SKU00319,334,59,4,31
SKU00320,434,46,7,49
SKU00321,60,1,5,41
SKU00322,69,4,7,67
SKU00323,305,93,11,82
SKU00324,477,98,6,53
SKU00325,130,73,10,88
