SKU,Category,Cost,Price
SKU00001,Food,40.84,55.01
SKU00002,Beauty,31.94,42.31
SKU00003,Home & Garden,9.5,14.89
SKU00004,Books,32.05,56.62
SKU00005,Toys,7.54,13.4
SKU00006,Toys,5.04,10.04
SKU00007,Electronics,18.69,30.28
SKU00008,Automotive,18.11,30.59
SKU00009,Health,7.1,14.05
SKU00010,Home & Garden,22.21,44.12
SKU00011,Automotive,7.09,11.95
SKU00012,Books,25.27,30.6
SKU00013,Automotive,48.45,89.48
SKU00014,Automotive,5.72,7.92
SKU00015,Food,32.45,60.57
SKU00016,Home & Garden,45.92,64.61
SKU00017,Beauty,38.99,60.05
SKU00018,Toys,29.6,39.9
SKU00019,Clothing,39.88,77.83
SKU00020,Sports,31.91,61.82
SKU00021,Beauty,30.67,49.58
SKU00022,Beauty,43.0,77.32
SKU00023,Books,31.4,61.93
SKU00024,Automotive,18.33,24.42
SKU00025,Automotive,49.41,89.82
SKU00026,Beauty,5.25,9.72
SKU00027,Electronics,37.01,67.81
SKU00028,Books,46.68,80.34
SKU00029,Food,43.25,67.45
SKU00030,Electronics,7.86,11.39
SKU00031,Beauty,34.97,58.5
SKU00032,Toys,44.92,70.88
SKU00033,Books,48.73,91.56
SKU00034,Books,30.26,54.97
SKU00035,Food,6.82,12.06
SKU00036,Health,6.14,7.9
SKU00037,Food,26.39,43.56
SKU00038,Sports,45.84,64.15
SKU00039,Sports,47.43,79.64
SKU00040,Home & Garden,12.25,23.82
SKU00041,Automotive,9.75,15.26
SKU00042,Sports,45.17,73.69
SKU00043,Health,10.49,15.58
SKU00044,Electronics,17.25,29.63
SKU00045,Automotive,41.81,78.96
SKU00046,Food,12.41,20.19
SKU00047,Books,36.16,51.19
SKU00048,Beauty,47.43,69.18
SKU00049,Beauty,36.64,54.62
SKU00050,Electronics,16.43,22.96
SKU00051,Food,27.38,39.44
SKU00052,Electronics,49.9,70.53
SKU00053,Clothing,27.62,34.28
SKU00054,Books,20.53,35.05
SKU00055,Clothing,28.89,45.02
SKU00056,Toys,15.89,27.62
SKU00057,Beauty,15.69,27.98
SKU00058,Beauty,26.16,51.98
SKU00059,Toys,29.11,37.03
SKU00060,Electronics,11.78,18.93
SKU00061,Home & Garden,31.59,55.03
SKU00062,Home & Garden,37.0,68.36
SKU00063,Sports,34.03,45.59
SKU00064,Electronics,22.89,36.95
SKU00065,Beauty,11.19,16.48
SKU00066,Automotive,14.41,23.53
SKU00067,Health,16.61,28.7
SKU00068,Health,49.2,79.37
SKU00069,Electronics,15.88,20.24
SKU00070,Books,45.52,77.68
SKU00071,Automotive,17.55,30.89
SKU00072,Home & Garden,43.53,66.33
SKU00073,Electronics,33.89,42.95
SKU00074,Beauty,40.34,70.0
SKU00075,Home & Garden,21.75,42.46
SKU00076,Automotive,5.23,6.95
SKU00077,Clothing,26.85,41.86
SKU00078,Automotive,12.92,15.69
SKU00079,Books,13.05,19.48
SKU00080,Beauty,43.22,74.59
SKU00081,Electronics,29.41,47.27
SKU00082,Toys,16.93,23.63
SKU00083,Toys,49.05,77.96
SKU00084,Beauty,33.4,61.32
SKU00085,Electronics,30.96,49.35
SKU00086,Books,15.36,24.56
SKU00087,Sports,6.09,10.46
SKU00088,Electronics,49.75,78.41
SKU00089,Books,44.76,80.48
SKU00090,Books,46.77,72.15
SKU00091,Books,30.75,61.02
SKU00092,Sports,18.25,27.52
SKU00093,Food,17.08,27.13
SKU00094,Clothing,30.06,58.58
SKU00095,Health,46.85,58.86
SKU00096,Clothing,32.68,65.09
SKU00097,Clothing,16.44,23.61
SKU00098,Health,38.33,67.38
SKU00099,Toys,21.18,30.39
SKU00100,Food,23.89,33.56
SKU00101,Beauty,46.1,74.17
SKU00102,Automotive,33.26,45.07
SKU00103,Beauty,36.59,67.2
SKU00104,Home & Garden,20.21,30.32
SKU00105,Clothing,24.73,42.97
SKU00106,Home & Garden,25.95,42.41
SKU00107,Toys,31.59,38.68
SKU00108,Sports,6.75,9.73
SKU00109,Books,28.5,51.76
SKU00110,Books,25.58,47.92
SKU00111,Sports,23.51,41.37
SKU00112,Beauty,37.67,74.62
SKU00113,Health,19.53,35.87
SKU00114,Home & Garden,24.75,31.26
SKU00115,Books,13.3,16.81
SKU00116,Automotive,35.98,44.85
SKU00117,Health,12.04,16.86
SKU00118,Toys,37.16,64.21
SKU00119,Books,33.72,54.41
SKU00120,Books,32.53,49.95
SKU00121,Health,21.02,37.97
SKU00122,Automotive,20.38,25.96
SKU00123,Electronics,19.01,37.72
SKU00124,Books,26.34,33.67
SKU00125,Books,26.31,35.21
SKU00126,Books,22.93,38.82
SKU00127,Books,44.9,63.25
SKU00128,Health,33.16,53.15
SKU00129,Electronics,29.27,51.14
SKU00130,Beauty,47.48,92.83
SKU00131,Sports,30.9,46.67
SKU00132,Electronics,25.62,41.93
SKU00133,Books,33.17,61.57
SKU00134,Beauty,45.74,62.05
SKU00135,Clothing,6.75,11.44
SKU00136,Food,8.2,11.94
SKU00137,Health,35.67,52.53
SKU00138,Home & Garden,17.68,22.89
SKU00139,Books,20.68,40.3
